Date,Open,High,Low,Close*,Adj. close**,Volume
8-Apr-22,"13,830.50","13,866.06","13,693.69","13,711.00","13,711.00","4,076,285,000"
7-Apr-22,"13,861.49","13,978.25","13,689.23","13,897.30","13,897.30","4,822,420,000"
6-Apr-22,"14,002.58","14,032.84","13,788.90","13,888.82","13,888.82","5,265,740,000"
5-Apr-22,"14,490.26","14,500.29","14,169.12","14,204.17","14,204.17","4,707,090,000"
4-Apr-22,"14,304.35","14,534.38","14,286.45","14,532.55","14,532.55","4,598,480,000"
1-Apr-22,"14,269.53","14,306.94","14,131.81","14,261.50","14,261.50","4,984,050,000"
31-Mar-22,"14,444.78","14,456.74","14,217.72","14,220.52","14,220.52","5,427,030,000"
30-Mar-22,"14,558.59","14,609.25","14,383.45","14,442.27","14,442.27","5,439,980,000"
29-Mar-22,"14,500.39","14,646.90","14,419.40","14,619.64","14,619.64","6,031,870,000"
28-Mar-22,"14,177.21","14,356.00","14,101.34","14,354.90","14,354.90","5,086,120,000"
25-Mar-22,"14,194.72","14,218.76","14,010.79","14,169.30","14,169.30","5,553,860,000"
24-Mar-22,"14,001.32","14,193.55","13,897.20","14,191.84","14,191.84","5,046,250,000"
23-Mar-22,"13,990.35","14,152.14","13,921.65","13,922.60","13,922.60","4,995,470,000"
22-Mar-22,"13,866.43","14,141.07","13,857.29","14,108.82","14,108.82","5,400,360,000"
21-Mar-22,"13,860.39","13,945.81","13,682.55","13,838.46","13,838.46","5,636,000,000"
18-Mar-22,"13,564.63","13,899.28","13,528.06","13,893.84","13,893.84","8,109,950,000"
17-Mar-22,"13,360.72","13,620.80","13,317.14","13,614.78","13,614.78","5,575,030,000"
16-Mar-22,"13,119.37","13,440.12","12,992.20","13,436.55","13,436.55","6,498,110,000"
15-Mar-22,"12,685.23","12,973.88","12,616.59","12,948.62","12,948.62","5,414,590,000"
14-Mar-22,"12,795.12","12,918.01","12,555.35","12,581.22","12,581.22","5,853,360,000"
11-Mar-22,"13,229.77","13,239.35","12,830.37","12,843.81","12,843.81","5,250,230,000"
10-Mar-22,"13,098.35","13,163.50","12,946.28","13,129.96","13,129.96","5,034,030,000"
9-Mar-22,"13,113.70","13,301.16","13,039.79","13,255.55","13,255.55","5,377,120,000"
8-Mar-22,"12,800.04","13,159.44","12,670.08","12,795.55","12,795.55","6,631,820,000"
7-Mar-22,"13,328.36","13,353.28","12,828.02","12,830.96","12,830.96","6,163,580,000"
4-Mar-22,"13,455.23","13,486.71","13,224.98","13,313.44","13,313.44","5,319,630,000"
3-Mar-22,"13,837.59","13,837.59","13,472.64","13,537.94","13,537.94","5,058,590,000"
2-Mar-22,"13,597.53","13,796.55","13,493.91","13,752.02","13,752.02","5,229,480,000"
1-Mar-22,"13,716.70","13,777.04","13,441.32","13,532.46","13,532.46","6,094,490,000"
28-Feb-22,"13,570.83","13,810.64","13,549.90","13,751.40","13,751.40","5,894,130,000"
25-Feb-22,"13,485.26","13,696.86","13,358.29","13,694.62","13,694.62","4,614,110,000"
24-Feb-22,"12,587.88","13,486.11","12,587.88","13,473.59","13,473.59","6,131,410,000"
23-Feb-22,"13,511.75","13,533.78","13,032.17","13,037.49","13,037.49","4,614,090,000"
22-Feb-22,"13,424.36","13,618.72","13,249.65","13,381.52","13,381.52","4,830,920,000"
18-Feb-22,"13,735.40","13,762.40","13,465.56","13,548.07","13,548.07","4,475,010,000"
17-Feb-22,"14,004.19","14,020.82","13,704.70","13,716.72","13,716.72","4,259,890,000"
16-Feb-22,"14,038.92","14,163.73","13,931.99","14,124.09","14,124.09","4,224,060,000"
15-Feb-22,"13,997.18","14,142.49","13,976.29","14,139.76","14,139.76","4,393,050,000"
14-Feb-22,"13,768.97","13,921.71","13,664.76","13,790.92","13,790.92","4,301,470,000"
11-Feb-22,"14,213.62","14,246.70","13,733.16","13,791.15","13,791.15","5,222,590,000"
