Date,Open,High,Low,Close*,Adj. close**,Volume
8-Apr-22,"2,009.06","2,017.08","1,993.04","1,994.56","1,994.56",-
7-Apr-22,"2,016.88","2,024.00","1,984.15","2,009.80","2,009.80","4,054,010,000"
6-Apr-22,"2,044.81","2,044.81","2,005.05","2,016.94","2,016.94","4,137,080,000"
5-Apr-22,"2,095.00","2,103.36","2,043.08","2,046.04","2,046.04","3,906,230,000"
4-Apr-22,"2,091.53","2,096.93","2,076.50","2,095.44","2,095.44","3,833,500,000"
1-Apr-22,"2,071.22","2,091.73","2,068.05","2,091.11","2,091.11","3,828,290,000"
31-Mar-22,"2,090.91","2,100.74","2,069.22","2,070.13","2,070.13","3,782,040,000"
30-Mar-22,"2,132.83","2,132.83","2,084.37","2,091.07","2,091.07","3,665,390,000"
29-Mar-22,"2,079.31","2,138.45","2,079.31","2,133.10","2,133.10","4,239,660,000"
28-Mar-22,"2,078.30","2,078.30","2,049.54","2,078.06","2,078.06","3,696,850,000"
25-Mar-22,"2,075.89","2,081.32","2,064.20","2,077.98","2,077.98","3,577,520,000"
24-Mar-22,"2,054.10","2,075.49","2,047.27","2,075.44","2,075.44","3,573,430,000"
23-Mar-22,"2,086.70","2,086.70","2,051.45","2,052.21","2,052.21","4,014,360,000"
22-Mar-22,"2,066.92","2,097.61","2,066.92","2,088.34","2,088.34","3,962,880,000"
21-Mar-22,"2,085.82","2,093.38","2,054.78","2,065.94","2,065.94","3,961,050,000"
18-Mar-22,"2,064.69","2,087.55","2,059.69","2,086.14","2,086.14","6,681,510,000"
17-Mar-22,"2,029.88","2,065.02","2,019.21","2,065.02","2,065.02","4,174,170,000"
16-Mar-22,"1,970.11","2,031.80","1,970.11","2,030.72","2,030.72","5,002,240,000"
15-Mar-22,"1,942.08","1,969.85","1,942.08","1,968.97","1,968.97","4,331,170,000"
14-Mar-22,"1,979.79","1,983.43","1,932.71","1,941.72","1,941.72","4,757,600,000"
