,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-07,33.8339729309082,842.0999755859375,61.311279296875,60.507999420166016,35.834999084472656,842.0999755859375,65.68000030517578,60.507999420166016,36.04499816894531,845.8800048828125,65.95999908447266,60.53799819946289,35.817501068115234,837.2999877929688,65.44000244140625,59.43000030517578,35.932498931884766,845.0,65.8499984741211,59.5,66688800,1111600,14108500,22898000
2017-04-10,33.79384231567383,841.7000122070312,61.171260833740234,62.47800064086914,35.79249954223633,841.7000122070312,65.52999877929688,62.47800064086914,35.970001220703125,846.739990234375,65.81999969482422,62.74599838256836,35.724998474121094,840.7899780273438,65.36000061035156,61.742000579833984,35.900001525878906,841.5399780273438,65.61000061035156,61.83000183105469,75733600,1046200,17952700,38322500
2017-04-11,33.43034744262695,839.8800048828125,61.12459182739258,61.742000579833984,35.407501220703125,839.8800048828125,65.4800033569336,61.742000579833984,35.837501525878906,844.6300048828125,65.61000061035156,62.694000244140625,35.01499938964844,834.5999755859375,64.8499984741211,61.099998474121094,35.73500061035156,841.7000122070312,65.5999984741211,62.67599868774414,121517600,974300,18791500,28623000
2017-04-12,33.47046661376953,841.4600219726562,60.891212463378906,59.36800003051758,35.45000076293945,841.4600219726562,65.2300033569336,59.36800003051758,35.537498474121094,843.719970703125,65.51000213623047,61.689998626708984,35.252498626708984,837.5900268554688,65.11000061035156,59.263999938964844,35.400001525878906,838.4600219726562,65.41999816894531,61.268001556396484,81400000,1135800,17108500,30253500
2017-04-13,33.2934455871582,840.1799926757812,60.62984085083008,60.79999923706055,35.26250076293945,840.1799926757812,64.94999694824219,60.79999923706055,35.595001220703125,843.72998046875,65.86000061035156,61.47800064086914,35.26250076293945,837.8499755859375,64.94999694824219,59.060001373291016,35.477500915527344,841.0399780273438,65.29000091552734,59.34000015258789,71291600,1073700,17896500,46423000
2017-04-17,33.47754669189453,855.1300048828125,61.12459182739258,60.28799819946289,35.45750045776367,855.1300048828125,65.4800033569336,60.28799819946289,35.470001220703125,855.6400146484375,65.48999786376953,60.79999923706055,35.217498779296875,841.030029296875,65.01000213623047,59.736000061035156,35.369998931884766,841.3800048828125,65.04000091552734,60.540000915527344,66328400,1049100,16689300,20693500
2017-04-18,33.32884216308594,853.989990234375,61.04056167602539,60.04999923706055,35.29999923706055,853.989990234375,65.38999938964844,60.04999923706055,35.5099983215332,857.3900146484375,65.70999908447266,60.167999267578125,35.27750015258789,851.25,65.16000366210938,59.58000183105469,35.352500915527344,852.5399780273438,65.33000183105469,59.939998626708984,58790000,936200,15155600,15178500
2017-04-19,33.20610809326172,856.510009765625,60.713844299316406,61.104000091552734,35.16999816894531,856.510009765625,65.04000091552734,61.104000091552734,35.5,860.2000122070312,65.75,61.32400131225586,35.11249923706055,853.530029296875,64.88999938964844,60.422000885009766,35.470001220703125,857.3900146484375,65.6500015258789,60.492000579833984,69313600,1080300,26992800,19490000
