Date,Open,High,Low,Close,Volume_base,Volume_quote,compound,positive,negative,neutral,comp_score
2022-04-09 15:45:00,56931.28,56942.18,56800.0,56870.1,1.1412,64894.3306942,0.7964,0.202,0.0,0.798,1
2022-04-10 19:00:00,57981.4,57981.4,57893.23,57894.91,0.22748,13178.5505658,0.128,0.108,0.096,0.795,1
2022-04-11 11:00:00,55815.22,55944.14,55799.74,55944.14,4.40993,246473.1257156,0.2732,0.068,0.0,0.932,1
2022-04-11 13:15:00,55423.29,55428.12,55199.0,55322.47,1.84872,102289.6172151,0.0,0.0,0.0,1.0,1
2022-04-11 14:45:00,55123.6,55238.05,55039.54,55051.26,2.42391,133614.5509507,-0.6249,0.0,0.121,0.879,0
2022-04-11 23:45:00,53562.29,53672.74,53300.01,53348.14,4.65824,249197.8371688,0.0,0.0,0.0,1.0,1
2022-04-12 17:15:00,53671.95,53819.82,53559.28,53804.44,1.05405,56528.6859263,0.7783,0.201,0.0,0.799,1
2022-04-12 18:15:00,53517.09,53613.19,53420.0,53422.67,1.00029,53498.7036303,0.6369,0.148,0.0,0.852,1
2022-04-13 00:30:00,53930.67,53930.67,53841.89,53869.34,1.48446,80000.7398113,-0.2732,0.062,0.09,0.848,0
2022-04-13 10:00:00,54054.55,54227.73,54032.48,54076.87,5.84132,316071.6454077,0.4767,0.105,0.0,0.895,1
2022-04-13 10:45:00,53765.7,53859.63,53741.95,53751.3,3.52107,189432.1314256,0.4939,0.091,0.0,0.909,1
2022-04-13 11:00:00,53789.45,53852.32,53650.0,53713.71,2.74159,147329.187172,0.4588,0.111,0.0,0.889,1
2022-04-13 16:30:00,55588.88,55632.84,55372.0,55372.0,1.01489,56341.6196762,-0.7003,0.0,0.19,0.81,0
2022-04-13 18:45:00,55448.26,55530.95,55364.53,55530.95,1.67708,92956.5701806,0.9423,0.371,0.0,0.629,1
2022-04-14 18:00:00,53864.48,53943.67,53796.18,53943.67,1.73154,93258.3037146,0.6124,0.156,0.0,0.844,1
2022-04-14 21:30:00,53918.52,53957.48,53916.04,53917.05,1.4465,78019.77487,0.296,0.061,0.0,0.939,1
2022-04-15 13:30:00,54234.12,54462.18,54223.64,54384.03,2.30752,125481.6314458,0.7096,0.152,0.0,0.848,1
2022-04-15 20:00:00,54695.77,54748.89,54687.55,54714.75,0.96264,52676.220546,0.3612,0.148,0.093,0.759,1
2022-04-16 09:00:00,54698.97,54700.86,54661.64,54692.22,0.13427,7342.8529188,-0.1531,0.0,0.043,0.957,0
2022-04-17 02:15:00,54705.49,54705.49,54660.68,54680.25,0.59567,32571.4419999,-0.5423,0.0,0.127,0.873,0
2022-04-18 10:00:00,52956.96,53001.22,52918.05,53001.22,3.50714,185737.2238651,0.0,0.0,0.0,1.0,1
2022-04-18 12:30:00,53153.86,53425.29,53153.86,53318.8,5.24597,279863.0584214,-0.5574,0.037,0.168,0.795,0
2022-04-18 15:00:00,53654.37,53654.37,53542.02,53575.87,1.65292,88551.7719874,-0.8462,0.038,0.226,0.736,0
2022-04-18 19:00:00,55387.32,55446.39,55259.09,55335.19,2.86511,158618.2725896,0.34,0.1,0.062,0.838,1
2022-04-18 21:45:00,55708.47,55782.3,55489.99,55496.72,0.91226,50745.9996921,0.0,0.0,0.0,1.0,1
2022-04-18 21:45:00,55708.47,55782.3,55489.99,55496.72,0.91226,50745.9996921,0.0,0.0,0.0,1.0,1
2022-04-18 23:45:00,55562.5,55562.77,55410.31,55473.73,1.12954,62668.258323,-0.296,0.0,0.064,0.936,0
2022-04-19 02:45:00,55359.76,55397.16,55284.21,55330.25,1.7026,94252.5247339,0.5267,0.121,0.0,0.879,1
2022-04-19 05:00:00,55397.76,55519.79,55367.8,55474.85,1.80603,100105.874178,0.0,0.0,0.0,1.0,1
